iter	Passed	Remaining
414	3426	4830
415	3434	4822
416	3442	4812
417	3451	4805
418	3457	4794
419	3467	4788
420	3473	4777
421	3483	4770
422	3490	4761
423	3499	4754
424	3505	4743
425	3513	4733
426	3522	4726
427	3530	4718
428	3539	4711
429	3547	4702
430	3554	4692
431	3561	4682
432	3568	4673
433	3575	4663
434	3583	4654
435	3589	4643
436	3597	4635
437	3607	4628
438	3616	4620
439	3625	4614
440	3633	4605
441	3639	4595
442	3655	4596
443	3666	4591
444	3688	4600
445	3703	4600
446	3716	4598
447	3728	4594
448	3739	4588
449	3763	4599
450	3772	4592
451	3783	4586
452	3796	4584
453	3807	4578
454	3814	4568
455	3825	4563
456	3838	4560
457	3849	4555
458	3865	4555
459	3875	4550
460	3887	4544
461	3906	4549
462	3923	4550
463	3934	4545
464	3947	4542
465	3958	4535
466	3969	4530
467	3982	4526
468	4001	4530
469	4013	4526
470	4032	4528
471	4043	4523
472	4055	4518
473	4063	4508
474	4074	4503
475	4084	4496
476	4098	4493
477	4108	4486
478	4117	4478
479	4126	4470
480	4134	4460
481	4141	4450
482	4149	4441
483	4155	4430
484	4165	4423
485	4173	4414
486	4184	4408
487	4193	4400
488	4202	4391
489	4213	4385
490	4222	4377
491	4231	4369
492	4244	4364
493	4255	4358
494	4264	4350
495	4275	4344
496	4283	4335
497	4292	4326
498	4299	4316
499	4306	4306
500	4314	4297
501	4320	4286
502	4327	4275
503	4333	4264
504	4339	4254
505	4347	4244
506	4353	4233
507	4360	4222
508	4366	4212
509	4370	4199
510	4377	4188
511	4383	4178
512	4391	4169
513	4398	4158
514	4410	4153
515	4421	4147
516	4434	4142
517	4446	4137
518	4458	4132
519	4476	4132
520	4493	4130
521	4504	4124
522	4517	4120
523	4530	4115
524	4544	4112
525	4558	4107
526	4568	4100
527	4579	4093
528	4588	4085
529	4603	4082
530	4614	4075
531	4626	4069
532	4637	4062
533	4656	4063
534	4669	4058
535	4681	4052
536	4692	4045
537	4700	4036
538	4709	4027
539	4721	4021
540	4731	4014
541	4741	4006
542	4755	4002
543	4766	3995
544	4778	3989
545	4789	3982
546	4800	3975
547	4812	3969
548	4825	3963
549	4835	3956
550	4845	3948
551	4857	3942
552	4870	3936
553	4878	3927
554	4886	3917
555	4896	3909
556	4908	3903
557	4918	3895
558	4926	3886
559	4933	3876
560	4941	3866
561	4947	3856
562	4955	3846
563	4964	3837
564	4973	3829
565	4979	3818
566	4986	3807
567	4996	3800
568	5005	3791
569	5013	3781
570	5024	3775
571	5032	3765
572	5041	3757
573	5047	3746
574	5055	3736
575	5061	3726
576	5068	3715
577	5075	3705
578	5082	3695
579	5090	3686
580	5096	3675
581	5105	3666
582	5111	3655
583	5117	3645
584	5125	3635
585	5131	3625
586	5137	3614
587	5144	3604
588	5153	3596
589	5160	3585
590	5166	3575
591	5173	3565
592	5177	3553
593	5183	3542
594	5190	3532
595	5196	3522
596	5204	3513
597	5212	3503
598	5220	3494
599	5227	3484
600	5235	3475
601	5241	3465
602	5248	3455
603	5256	3446
604	5264	3436
605	5274	3429
606	5280	3418
607	5287	3409
608	5293	3398
609	5300	3388
610	5307	3378
611	5313	3368
612	5320	3359
613	5326	3348
614	5334	3339
615	5340	3329
616	5346	3319
617	5354	3309
618	5360	3299
619	5367	3289
620	5374	3279
621	5380	3269
622	5388	3260
623	5395	3250
624	5402	3241
625	5410	3232
626	5419	3224
627	5427	3215
628	5436	3206
629	5442	3196
630	5448	3186
631	5457	3177
632	5467	3170
633	5475	3160
634	5481	3150
635	5491	3143
636	5500	3134
637	5507	3124
638	5513	3114
639	5523	3107
640	5533	3099
641	5540	3089
642	5546	3079
643	5558	3072
644	5568	3064
