iter	Logloss
207	0.4530789452
208	0.4527473272
209	0.4524181131
210	0.4511330693
211	0.4504581379
212	0.4499626173
213	0.4496320614
214	0.4490148298
215	0.4484504227
216	0.4477252402
217	0.446545315
218	0.4459295553
219	0.4451821502
220	0.4444180039
221	0.4439943293
222	0.4437098276
223	0.442782188
224	0.4414772917
225	0.4408580602
226	0.4406093327
227	0.4398524632
228	0.4384998868
229	0.4380828394
230	0.4371399056
231	0.4362734507
232	0.4351253315
233	0.4348677551
234	0.4347751557
235	0.4340721829
236	0.4337444766
237	0.4332211423
238	0.4327008202
239	0.4323303829
240	0.4314775335
241	0.4307585607
242	0.4300352042
243	0.4294912595
244	0.4285256004
245	0.4279358497
246	0.4267572129
247	0.4263101585
248	0.4258368658
249	0.4251535559
250	0.4245689704
251	0.4238052406
252	0.4232208651
253	0.4228790302
254	0.4221102833
255	0.4209066399
256	0.4197843689
257	0.4194388883
258	0.4186184639
259	0.4180440088
260	0.4170179631
261	0.4167274647
262	0.4161584647
263	0.4150909585
264	0.4146580477
265	0.4137336978
266	0.4130651669
267	0.4124475354
268	0.4116688078
269	0.4111943642
270	0.410759038
271	0.4101848927
272	0.4090765296
273	0.4086133655
274	0.4080993403
275	0.4076285624
276	0.4070994715
277	0.4064134338
278	0.4056539762
279	0.4051919703
280	0.4040469576
281	0.4036304036
282	0.4032383773
283	0.4023412562
284	0.4017888792
285	0.4011152145
286	0.4004994024
287	0.3997030998
288	0.3995451555
289	0.3979582387
290	0.3976762287
291	0.3971607365
292	0.3965827907
293	0.3961006334
294	0.3957885608
295	0.3953150369
296	0.3947704215
297	0.3940470978
298	0.3934092441
299	0.3931748698
300	0.3925740935
301	0.3922077723
302	0.3914366029
303	0.3911292814
304	0.3905693465
305	0.3902478643
306	0.3898394639
307	0.3888874
308	0.3883024334
309	0.3879468558
310	0.3868058235
311	0.3860810424
312	0.3855343305
313	0.3851076918
314	0.3840817651
315	0.3829592387
316	0.3815133383
317	0.380688516
318	0.3803865723
319	0.3796925104
320	0.3793680805
321	0.3792486359
322	0.3789235336
323	0.3783729579
324	0.3777375679
325	0.3776265402
326	0.3770576702
327	0.3766979189
328	0.3763163424
329	0.3756851491
330	0.3754246065
331	0.374533326
332	0.3743583484
333	0.3739680526
334	0.3732043459
335	0.3730229112
336	0.372345557
337	0.3721644941
338	0.3716515667
339	0.3711851654
340	0.3706479908
341	0.3703043766
342	0.3701403064
343	0.3698150546
344	0.3695033151
345	0.3686185828
346	0.3676070373
347	0.3669539353
348	0.366731432
349	0.3654672274
350	0.364952367
351	0.3647813989
352	0.3644136687
353	0.3640673749
354	0.3634049204
355	0.363106235
356	0.3628341703
357	0.3625158663
358	0.3621620677
359	0.3617826559
360	0.3612692857
361	0.3603774449
362	0.3601470195
363	0.3597979768
364	0.3594614527
365	0.3590573733
366	0.3585954335
367	0.3583921795
368	0.3579784837
369	0.3574986123
370	0.3565094407
371	0.3557835392
372	0.3553132396
373	0.3550865947
374	0.3544321541
375	0.3540049944
376	0.3536583827
377	0.3531952991
378	0.3527106932
379	0.3518025731
380	0.3515809235
381	0.3511911026
382	0.3505587399
383	0.3498900338
384	0.3490862304
385	0.3488648572
386	0.3484558298
387	0.3479867738
388	0.3475536403
389	0.3473627621
390	0.3468491686
391	0.3463712241
392	0.3456089271
393	0.3451122559
394	0.3447123225
395	0.3438983114
396	0.3435699231
397	0.3432537316
398	0.342773484
399	0.3425685408
400	0.3420830402
401	0.3417044143
402	0.341374922
403	0.3409031137
404	0.3399552257
405	0.3394228492
406	0.3393407871
407	0.3389820083
408	0.3386065895
409	0.3382874625
410	0.337922974
411	0.3376446948
412	0.3367351004
413	0.3365455539
414	0.3360429867
415	0.3356516613
416	0.3353615931
417	0.3351102793
418	0.3346557293
419	0.3340440449
420	0.3334836047
421	0.3330044508
422	0.3326559796
423	0.3322143073
424	0.33188996
425	0.3315344394
426	0.3313232747
427	0.3308334713
428	0.3304150154
429	0.3301503895
430	0.3295381732
431	0.3288450817
432	0.3285897701
433	0.3284476219
434	0.3279055177
435	0.3276373189
436	0.3271168173
437	0.3267176326
438	0.3263438681
439	0.3259107444
440	0.3252887966
441	0.3245169391
442	0.3237214835
443	0.3233805684
444	0.3231322646
445	0.3227931198
446	0.322293516
447	0.3217549851
448	0.3211831145
449	0.3209636617
450	0.3204243748
451	0.3203137363
452	0.3197930975
453	0.3193023302
454	0.3191733497
455	0.3188572337
456	0.3183052987
457	0.3179987408
458	0.3172785432
459	0.3171312377
460	0.3170638069
461	0.3160784015
462	0.3155461473
463	0.3152865615
464	0.3149956187
465	0.3144831818
466	0.3142790253
467	0.3137217727
468	0.312703411
469	0.3124700591
470	0.3123328994
471	0.3120337906
472	0.3114559135
473	0.3112916363
474	0.3104239192
475	0.3098781289
476	0.3095408978
477	0.3093499405
478	0.3088155486
479	0.3083342103
480	0.3082580652
481	0.3079383488
482	0.3076276087
483	0.3073222854
484	0.3068269662
485	0.3063617383
486	0.3060260366
487	0.3057737087
488	0.3053083058
489	0.3048345758
490	0.3045634414
491	0.3041376316
492	0.3039981944
493	0.3036583348
494	0.3033147803
495	0.3032043728
496	0.3023772693
497	0.3022419016
498	0.3019979994
499	0.3018861101
500	0.3013361751
501	0.2999453479
502	0.2997388123
503	0.2994366243
504	0.2988203245
505	0.298588705
506	0.2983010139
507	0.2980895087
508	0.2975240429
509	0.2973273553
510	0.2966419998
511	0.2964028588
512	0.2959595372
513	0.2956163005
514	0.2953211388
515	0.2948492028
516	0.2942845105
517	0.2936420952
518	0.293516657
519	0.2932940058
520	0.2931563099
521	0.2926121424
522	0.292507666
523	0.2923299468
524	0.2921153042
525	0.2918891091
526	0.2916546156
527	0.2912039722
528	0.2909387632
529	0.2905655393
530	0.2902649327
531	0.2901233802
532	0.2899064545
533	0.2895102547
534	0.2891727586
535	0.2886539183
536	0.2883234903
537	0.2880721058
538	0.2878788654
539	0.2876556067
540	0.2873977855
541	0.2868583384
542	0.2867170841
543	0.2861399598
544	0.2859512886
545	0.285923527
546	0.2855528202
547	0.2854412077
548	0.2852103186
549	0.2849393106
550	0.2845698847
551	0.2839591084
552	0.2838217248
553	0.2834715777
554	0.2831128826
555	0.2826951028
556	0.282452126
557	0.2822262537
558	0.2818656348
559	0.281422937
560	0.2811534808
561	0.2809173745
562	0.2803846413
563	0.2801873064
564	0.2798072893
565	0.2793058443
566	0.2790427779
567	0.2788462799
568	0.2785083925
569	0.278429405
570	0.27803623
571	0.277820679
572	0.2775810484
573	0.2773238763
574	0.2767862687
575	0.2765086259
576	0.2762113524
577	0.2759186405
578	0.2755262859
579	0.275167331
580	0.2749870291
581	0.2748331209
582	0.2746459507
583	0.2744067788
584	0.2740671215
585	0.2738232891
586	0.273496408
587	0.2728831486
588	0.2724075693
589	0.2720587373
590	0.2711559594
591	0.2710499709
592	0.2709660183
593	0.2705305788
594	0.27019995
595	0.2700144825
596	0.2699490368
597	0.269770098
598	0.2695331165
599	0.269257208
600	0.2689305026
601	0.2686205372
602	0.2685008406
603	0.267947793
604	0.2674121612
605	0.2671947629
606	0.266811611
607	0.2666275649
608	0.2663877974
609	0.2658491833
610	0.265620227
611	0.2655062446
612	0.2651644086
613	0.2648405193
614	0.2645805448
615	0.2645299097
616	0.2638663654
617	0.2633682268
618	0.2627230142
619	0.2625252527
620	0.2620873961
621	0.2618519209
622	0.2609472545
623	0.2605047171
624	0.2600910065
625	0.2598090431
626	0.2591858814
627	0.258692999
628	0.2584224271
629	0.2582133338
630	0.2575804888
631	0.2573476158
632	0.2571194987
633	0.2566190368
634	0.2563373286
635	0.2561308858
636	0.2558251526
637	0.255579505
638	0.2553180206
639	0.2551560645
640	0.2549931798
641	0.2546451586
642	0.2545562179
643	0.25425411
644	0.2539015287
645	0.253531825
646	0.2531572282
647	0.252950561
648	0.2526266006
649	0.2521406478
650	0.251445876
651	0.251343184
652	0.2513006728
653	0.2509050494
654	0.2505260861
655	0.2501092457
656	0.2495358443
657	0.2489665394
658	0.2487070911
659	0.2483143893
660	0.2480429775
661	0.2478594795
662	0.2475562502
663	0.247402719
664	0.2469151638
665	0.2467523417
666	0.2463103195
667	0.2460309542
668	0.2457570257
669	0.2455292066
670	0.245085964
671	0.2447614514
672	0.2446548068
673	0.2443235789
674	0.2440241763
675	0.2438942359
676	0.2435583893
677	0.2434301413
678	0.2429376001
679	0.242282213
680	0.2422034936
681	0.2414674664
682	0.2407834443
683	0.2405803938
684	0.2403283064
685	0.2401516799
686	0.2400033353
687	0.2398003069
688	0.2395957159
689	0.2395068764
690	0.2393312835
691	0.2389850962
692	0.238830668
693	0.2386671329
694	0.2384692975
695	0.2382555913
696	0.2376982905
697	0.2375336172
698	0.2370605898
699	0.2369941249
700	0.2365916741
701	0.2364249623
702	0.2361667767
703	0.2360646102
704	0.2359252634
705	0.2358337594
706	0.2352784158
707	0.2346691808
708	0.2345236334
709	0.2343017245
710	0.2340036301
711	0.233627709
712	0.2331947912
713	0.2330385514
714	0.2327829763
715	0.232435369
716	0.2322675561
717	0.231991946
718	0.2318575329
719	0.2314371775
720	0.2310687511
721	0.2310261747
722	0.2308051813
723	0.2304742518
724	0.2300027946
725	0.2297243519
726	0.2295778719
727	0.2294900107
728	0.2293654373
729	0.2292597069
730	0.2289691387
731	0.2287928208
732	0.2285484004
733	0.2283542129
734	0.2279687774
735	0.2278421762
736	0.2274830604
737	0.2272347627
738	0.2270158866
739	0.2267270191
740	0.2265467593
741	0.2264629115
742	0.2261376945
743	0.2255387633
744	0.2254237055
745	0.2252441782
746	0.2251330013
747	0.2248364497
748	0.2247295656
749	0.224487236
750	0.2243474108
751	0.2241513713
752	0.2235377301
753	0.2233495042
754	0.2229266532
755	0.2224687032
756	0.2221696213
757	0.2215916535
758	0.2214723215
759	0.2213218195
760	0.2210847785
761	0.2208170429
762	0.2206832045
763	0.2205658523
764	0.2203532071
765	0.2201568947
766	0.2198849828
767	0.2196826381
768	0.2195722921
769	0.2193676086
770	0.2188890499
771	0.2186573448
772	0.2184665878
773	0.2182067194
774	0.2180714423
775	0.2177564413
776	0.2176607563
777	0.2170882635
778	0.2168789371
779	0.2168096638
780	0.2164802128
781	0.2164124551
782	0.2161422687
783	0.2159670001
784	0.2157778257
785	0.2153640321
786	0.2151658147
787	0.2149967806
788	0.2146408482
789	0.2144956057
790	0.2142492092
791	0.2139528233
792	0.2137845397
793	0.2136782576
794	0.2134829881
795	0.2132687922
796	0.2130132922
797	0.2127278766
798	0.2125155546
799	0.2124295454
800	0.2119878495
801	0.2117576833
802	0.2116238719
803	0.2115094988
804	0.2111692135
805	0.2109463647
806	0.2108302429
807	0.2103916351
808	0.2102048425
809	0.2098954888
810	0.2096978529
811	0.2095156709
812	0.2093293333
813	0.209188391
814	0.2089411692
815	0.2087533473
816	0.2085828795
817	0.2084482015
818	0.2083383737
819	0.2080180813
820	0.2079410059
821	0.2078055333
822	0.2075962067
823	0.2075416292
824	0.206801618
825	0.2066084859
826	0.2062926618
827	0.2061222914
828	0.2057435219
829	0.2053456621
830	0.2050915947
831	0.2043819115
832	0.2042169794
833	0.2040730505
834	0.2038747002
835	0.2037097659
836	0.2031346719
837	0.2029643187
838	0.2027210213
839	0.2025043747
840	0.2020164512
841	0.2018366322
842	0.2015305549
843	0.2014321635
844	0.2012288639
845	0.2009623009
846	0.2005545786
847	0.2003376715
848	0.1998063323
849	0.1995874536
850	0.1993715569
851	0.1990549989
852	0.1989064028
853	0.1986497571
854	0.1982391784
855	0.1980069961
856	0.1978636521
857	0.1976724191
858	0.197551305
859	0.1972371031
860	0.1971388375
861	0.1969108141
862	0.1968349124
863	0.1966503546
864	0.196339805
865	0.1962677698
866	0.1961840812
867	0.1957916967
868	0.195576062
869	0.1950776127
870	0.19491096
871	0.1948578522
872	0.1947496309
873	0.1944112473
874	0.1941045117
875	0.1939425381
876	0.1936648899
877	0.193344992
878	0.1928764559
879	0.1924425493
880	0.1921465299
881	0.1918912609
882	0.191780942
883	0.1915879524
884	0.1913950616
885	0.1911649404
886	0.1911011845
887	0.1910674355
888	0.1910106662
889	0.1908868754
890	0.1906038323
891	0.1902318537
892	0.1901588715
893	0.1899292073
894	0.1896182531
895	0.1894850426
896	0.1889787639
897	0.1887359613
898	0.1886955182
899	0.1885026462
900	0.1880945821
901	0.1880409101
902	0.187778899
903	0.1876101364
904	0.1874211225
905	0.1871856081
906	0.186929557
907	0.1867673321
908	0.186559259
909	0.1865284409
910	0.1863764427
911	0.1861619858
912	0.1860333867
913	0.1858783287
914	0.185757357
915	0.1855268686
916	0.1854198665
917	0.1846140916
918	0.1843170266
919	0.1841168836
920	0.183653063
921	0.1834928896
922	0.1834192638
923	0.1832506702
924	0.1829813617
925	0.1829203985
926	0.1826817614
927	0.1825438561
928	0.1822534327
929	0.1822071487
930	0.1819540509
931	0.1817693682
932	0.1816360251
933	0.1814292456
934	0.1814027861
935	0.1812621184
936	0.1810784376
937	0.1807985616
938	0.1804112973
939	0.1801223333
940	0.1800330111
941	0.1799133414
942	0.1796719336
943	0.179506752
944	0.1794153667
945	0.179351625
946	0.179080393
947	0.1788024829
948	0.1786814756
949	0.1781618087
950	0.1780049824
951	0.1778142205
952	0.1776577084
953	0.1774984112
954	0.1773949529
955	0.1773398025
956	0.1772016826
957	0.1768954136
958	0.1767731358
959	0.1765379303
960	0.1761426552
961	0.1758040561
962	0.1753873685
963	0.1751174373
964	0.1748803361
965	0.1748234519
966	0.1746898443
967	0.1745830397
968	0.1743633034
969	0.1741698312
970	0.1740073274
971	0.1737149274
972	0.1735500079
973	0.1733925339
974	0.1730709075
975	0.1729152628
976	0.1725585196
977	0.1724158735
978	0.1720271609
979	0.1720006853
980	0.1719261998
981	0.1717584312
982	0.1715479119
983	0.1713421068
984	0.1712408063
985	0.1710235352
986	0.1707606953
987	0.170458407
988	0.1702787583
989	0.1701847166
990	0.1699949502
991	0.1698751284
992	0.1697461571
993	0.1696149641
994	0.1692848657
995	0.1691542492
996	0.1691149734
997	0.16886819
998	0.1687429209
999	0.1683900934
