iter	Passed	Remaining
464	771	887
465	773	885
466	774	884
467	776	882
468	777	880
469	779	878
470	781	877
471	782	875
472	784	873
473	785	871
474	787	869
475	788	868
476	790	866
477	791	864
478	793	862
479	794	860
480	796	859
481	797	857
482	799	856
483	801	854
484	802	852
485	804	850
486	805	848
487	807	847
488	808	845
489	810	843
490	811	841
491	813	840
492	815	838
493	816	836
494	818	834
495	819	833
496	821	831
497	823	829
498	824	828
499	826	826
500	827	824
501	829	822
502	831	821
503	833	820
504	834	818
505	836	816
506	837	814
507	839	812
508	840	811
509	842	809
510	844	807
511	845	805
512	847	804
513	848	802
514	850	800
515	851	798
516	853	797
517	854	795
518	856	793
519	858	792
520	859	790
521	861	788
522	863	787
523	864	785
524	866	783
525	868	782
526	869	780
527	871	778
528	872	776
529	874	775
530	875	773
531	877	771
532	878	770
533	880	768
534	882	766
535	883	765
536	885	763
537	887	762
538	889	760
539	890	758
540	892	757
541	893	755
542	895	753
543	896	751
544	898	750
545	900	748
546	901	746
547	903	744
548	904	743
549	906	741
550	907	739
551	909	737
552	910	736
553	912	734
554	914	733
555	915	731
556	917	729
557	918	727
558	920	726
559	922	724
560	923	722
561	925	721
562	926	719
563	928	717
564	929	715
565	931	714
566	932	712
567	934	710
568	935	708
569	937	707
570	939	705
571	940	704
572	942	702
573	944	701
574	946	699
575	947	697
576	949	696
577	951	694
578	952	692
579	954	691
580	955	689
581	957	688
582	959	686
583	961	684
584	963	683
585	965	682
586	967	680
587	968	678
588	970	677
589	972	675
590	974	674
591	975	672
592	977	670
593	978	668
594	980	667
595	982	665
596	984	664
597	985	662
598	987	660
599	988	659
600	990	657
601	991	655
602	993	654
603	994	652
604	996	650
605	998	648
606	999	647
607	1001	645
608	1002	643
609	1004	641
610	1005	640
611	1007	638
612	1008	636
613	1010	635
614	1013	634
615	1015	632
616	1017	631
617	1018	629
618	1020	627
619	1021	626
620	1023	624
621	1025	622
622	1026	621
623	1028	619
624	1029	617
625	1031	616
626	1032	614
627	1034	612
628	1036	611
629	1037	609
630	1039	607
631	1040	605
632	1042	604
633	1043	602
634	1045	600
635	1046	599
636	1048	597
637	1049	595
638	1051	594
639	1053	592
640	1054	590
641	1056	589
642	1058	587
643	1059	585
644	1061	584
645	1063	582
646	1064	580
647	1066	579
648	1067	577
649	1069	575
650	1070	574
651	1072	572
652	1073	570
653	1075	568
654	1076	567
655	1078	565
656	1080	563
657	1081	562
658	1082	560
659	1084	558
660	1086	557
661	1087	555
662	1089	553
663	1090	551
664	1092	550
665	1093	548
666	1095	546
667	1097	545
668	1098	543
669	1100	541
670	1101	540
671	1103	538
672	1104	536
673	1106	535
674	1107	533
675	1109	531
676	1110	530
677	1113	528
678	1115	527
679	1116	525
680	1118	523
681	1119	522
682	1121	520
683	1122	518
684	1124	516
685	1125	515
686	1127	513
687	1129	512
688	1130	510
689	1132	508
690	1133	507
691	1135	505
692	1137	503
693	1138	502
694	1140	500
695	1141	498
696	1143	497
697	1145	495
698	1146	493
699	1148	492
