iter	MultiClass
0	1.043401681
1	0.9908773735
2	0.9439800427
3	0.8990696851
4	0.8586331234
5	0.8208725713
6	0.7844354866
7	0.7503192327
8	0.7183031564
9	0.6906909907
10	0.6621834239
11	0.6352827974
12	0.6106090901
13	0.5872198779
14	0.5650204221
15	0.5432745676
16	0.523240671
17	0.503565886
18	0.4848375784
19	0.4669935103
20	0.4505101645
21	0.4342455053
22	0.4187108938
23	0.4043449155
24	0.3905904609
25	0.3774135004
26	0.3643406453
27	0.3518149433
28	0.3402251936
29	0.3286906333
30	0.3176219164
31	0.307383488
32	0.2975412227
33	0.2877045166
34	0.2786124171
35	0.2698619697
36	0.261437546
37	0.2529823979
38	0.2451791807
39	0.2373303167
40	0.2297706758
41	0.2224874885
42	0.2157805531
43	0.2090035666
44	0.2032904543
45	0.1969595129
46	0.1908525508
47	0.1849603118
48	0.1792740123
49	0.1740647447
50	0.1687560874
51	0.1639013481
52	0.1596608964
53	0.1548452105
54	0.1504538176
55	0.1459495154
56	0.1418506332
57	0.1378858022
58	0.1340499496
59	0.1303382175
60	0.1265042078
61	0.1230353411
62	0.1196773693
63	0.1164264894
64	0.1130480262
65	0.1097791973
66	0.1066160755
67	0.1037773881
68	0.1008074104
69	0.09793254988
70	0.0951494714
71	0.09245497278
72	0.08984597856
73	0.08731953404
74	0.08507765182
75	0.08270146872
76	0.08039985959
77	0.07817029098
78	0.07601032533
79	0.07411109118
80	0.07207738762
81	0.0702959226
82	0.06838033186
83	0.06652383251
84	0.06490725268
85	0.063157536
86	0.06146143056
87	0.05999378931
88	0.05856914653
89	0.0570130564
90	0.05550424382
91	0.05404117255
92	0.05262236012
93	0.05124637565
94	0.04991183788
95	0.0486174132
96	0.04736181384
97	0.04630069666
98	0.04511438783
99	0.04396344768
100	0.04299782807
101	0.04190981372
102	0.04100175137
103	0.03997285036
104	0.03897432245
105	0.03814727585
106	0.03720248778
107	0.03628542131
108	0.03553194947
109	0.03466376097
110	0.03382089039
111	0.03300254557
112	0.03220796028
113	0.03156429559
114	0.03081134698
115	0.03008012011
116	0.02949281027
117	0.0287995091
